Game#,Date,Home Team,Away Team,Home Score,Away Score,N/CT/NT,Winning Team,Losing Team,Margin
1,128,Washington,Portland,20,3,,Washington,Portland,17
2,129,UCLA,CSU Long Beach,10,9,,UCLA,CSU Long Beach,1
3,203,California,UC Davis,23,2,,California,UC Davis,21
4,203,Minnesota,Minnesota St. Mankato,21,6,N,Minnesota,Minnesota St. Mankato,15
5,203,Brigham Young,Arizona,12,2,,Brigham Young,Arizona,10
6,203,SMU,Auburn,13,4,,SMU,Auburn,9
7,203,Texas A&M,Texas State,15,11,,Texas A&M,Texas State,4
8,203,Vanderbilt,Tennessee,14,10,,Vanderbilt,Tennessee,4
9,204,South Carolina,UNC Charlotte,25,2,,South Carolina,UNC Charlotte,23
10,204,Missouri,Missouri S&T,20,0,,Missouri,Missouri S&T,20
11,204,Texas,North Texas,19,0,,Texas,North Texas,19
12,204,San Diego,Loyola Marymount,20,3,,San Diego,Loyola Marymount,17
13,204,Vanderbilt,Texas Tech,15,1,,Vanderbilt,Texas Tech,14
14,204,Concordia University,USC,20,7,,Concordia University,USC,13
15,204,Texas A&M,Texas San Antonio,17,4,,Texas A&M,Texas San Antonio,13
16,204,Tennessee,Texas Tech,15,3,N,Tennessee,Texas Tech,12
17,204,Oregon State,Portland,14,4,,Oregon State,Portland,10
18,204,UC Santa Barbara,UCLA,10,1,,UC Santa Barbara,UCLA,9
19,204,Claremont,San Diego State,10,18,,San Diego State,Claremont,8
20,204,Kansas State,Arkansas,6,13,,Arkansas,Kansas State,7
21,204,Michigan-Dearborn,Western Michigan,9,16,,Western Michigan,Michigan-Dearborn,7
22,204,Florida,Florida Gulf Coast,14,8,,Florida,Florida Gulf Coast,6
23,204,Santa Clara,Cal Poly,6,12,,Cal Poly,Santa Clara,6
24,204,Dominican U.,Notre Dame de Namur,8,12,,Notre Dame de Namur,Dominican U.,4
25,204,Utah Valley,Arizona,6,10,,Arizona,Utah Valley,4
26,204,Georgia,Clemson,8,6,,Georgia,Clemson,2
27,204,TCU,Auburn,13,11,,TCU,Auburn,2
28,204,Louisiana State,Louisiana,13,12,,Louisiana State,Louisiana,1
29,204,South Florida,Florida Atlantic,12,13,,Florida Atlantic,South Florida,1
30,205,Kansas State,Westminster (MO),14,1,,Kansas State,Westminster (MO),13
31,205,Missouri,Illinois State,15,3,,Missouri,Illinois State,12
32,205,St. Edward's,North Texas,12,9,,St. Edward's,North Texas,3
33,207,Claremont,Occidental,15,11,,Claremont,Occidental,4
34,210,Minnesota,Iowa State,22,4,,Minnesota,Iowa State,18
35,210,Utah Valley,Montana,21,6,,Utah Valley,Montana,15
36,210,Mississippi,Georgia Tech,5,18,,Georgia Tech,Mississippi,13
37,210,South Florida,Clemson,7,16,N,Clemson,South Florida,9
38,210,Georgia,Kennesaw State,10,6,,Georgia,Kennesaw State,4
39,210,Texas Tech,Arkansas,8,11,,Arkansas,Texas Tech,3
40,210,Vanderbilt,Missouri,8,5,,Vanderbilt,Missouri,3
41,210,Louisiana State,Florida,8,10,,Florida,Louisiana State,2
42,210,Arizona State,Florida State,5,6,,Florida State,Arizona State,1
43,210,Utah State,Montana,12,11,,Utah State,Montana,1
44,211,Tennessee,South Carolina,2,23,,South Carolina,Tennessee,21
45,211,Oklahoma,Nebraska,23,6,,Oklahoma,Nebraska,17
46,211,Minnesota,Western Michigan,23,8,N,Minnesota,Western Michigan,15
47,211,Loyola Marymount,Santa Clara,3,18,N,Santa Clara,Loyola Marymount,15
48,211,Nebraska,Arkansas,6,19,N,Arkansas,Nebraska,13
49,211,Illinois,Southern Illinois,16,3,N,Illinois,Southern Illinois,13
50,211,Texas Tech,TCU,6,16,,TCU,Texas Tech,10
51,211,UNLV,UCLA,15,6,,UNLV,UCLA,9
52,211,USC,Cal Poly,2,11,,Cal Poly,USC,9
53,211,Iowa State,Western Michigan,10,19,N,Western Michigan,Iowa State,9
54,211,Miami (FL),Clemson,6,14,,Clemson,Miami (FL),8
55,211,California,UC Santa Barbara,13,5,,California,UC Santa Barbara,8
56,211,Miami (OH),Illinois State,10,4,,Miami (OH),Illinois State,6
57,211,Trinity (TX),North Texas,9,15,,North Texas,Trinity (TX),6
58,211,Georgia,Georgia Southern,10,4,,Georgia,Georgia Southern,6
