"","Venue","HomeTeam"
"2","University of Texas - Dallas","UT-Dallas"
"4","Trinity University","Trinity"
"6","Joe Aillet Stadium","Louisiana Tech"
"8","Veterans Park","Arkansas"
"9","Mississippi State University","Mississippi State University"
"10","Biola","Biola"
"11","Texas State University","Texas State"
"12","Baylor University","Baylor"
"13","Rhodes College","Rhodes College"
"14","Florida Atlantic University","Florida Atlantic"
"15","University of Arkansas","Arkansas"
"17","Oklahoma State University","Oklahoma State"
"18","Texas Tech University","Texas Tech"
"19","University of Florida","Florida"
"20","Harwell Field","Tulsa"
"22","Santa Clara University","Santa Clara"
"24","Allison North Stadium","Missouri State"
"25","Clemson Rec Sports Fields","Clemson"
"26","E. Washington Field Complex","Sonoma State"
"27","Cal State Fullerton","Cal State Fullerton"
"28","University of Texas","Texas"
"29","UNC-Charlotte","UNC-Charlotte"
"30","University of California - Berkeley","California"
"34","Rice University","Rice"
"37","Memorial Stadium","Kansas State"
"38","Kennelly Field","Dominican"
"40","Virginia Tech - The Marching Virginians Center","Virginia Tech"
"43","Cusabo Nation Lacrosse Complex","Charleston"
"44","UC-Santa Barbara","UC Santa Barbara"
"45","Cal State San Marcos","Cal State San Marcos"
"46","Loveland Sports Park","Colorado State"
"48","Thunderbird Sports Complex","UNLV"
"49","Vanderbilt - Natchez Trace Field","Vanderbilt"
"50","Abilene Christian","Abilene Christian"
"51","Grand Valley State","Grand Valley State"
"52","Kennesaw State University","Kennesaw State"
"53","Wake Forest - Water Tower Field","Wake Forest"
"54","Auburn Intramural Fields","Auburn"
"57","South Carolina-Bluff Road Practice Fields","South Carolina"
"58","Patriot Field","Dallas Baptist"
"59","Coastal Carolina","Coastal Carolina"
"61","Florida Gulf Coast University","Florida Gulf Coast"
"62","University of North Texas","North Texas"
"64","Seattle University Park","Seattle University"
"65","Portland State","Portland State"
"66","Raider Stadium","Southern Oregon"
"68","Southern Methodist University","Southern Methodist"
"70","UCLA","UCLA"
"71","Oakland University","Oakland"
"73","Cal State Channel Islands","Cal State Channel Islands"
"79","University of Portland","Portland"
"81","UC-Irvine Field 2","UC Irvine"
"82","LMU","Loyola Marymount"
"83","Florida State University","Florida State"
"89","Central Michigan","Central Michigan"
"94","Cal Poly SLO","Cal Poly"
"96","University of Nebraska","Nebraska"
"98","Cal State-Long Beach","Cal State Long Beach"
"101","Hidden Creek Polo Fields","Santa Clara"
"102","Aurora Sports Park","Johnson & Wales"
"103","Tennessee-Sutherland Fields","Tennessee"
"107","Georgia Southern University","Georgia Southern"
"108","Davidson Fields","Davidson"
"113","Mulligan Field (Gonzaga)","Gonzaga"
"115","Eastern Carver County Athletic Center","Minnesota"
"117","Concordia University","Concordia-Irvine"
"119","UNC Charlotte Sports Field","UNC-Charlotte"
"122","Texas A & M","Texas A&M"
"123","San Diego State University","San Diego State"
"126","Brigham Young University","Brigham Young"
"128","Cook Pavillion","Nebraska"
"130","North Florida","North Florida"
"131","Stanford University","Stanford"
"139","Pacific Lutheran University","Pacific Lutheran"
"142","University of Tampa","University of Tampa"
"143","University of Washington IMA #1","Washington"
"149","TCU Sports Club Field","Texas Christian"
"150","University of San Diego","San Diego"
"153","CEFCU Stadium (SJSU)","San Jose State"
"154","St Mary's College","St. Mary's"
"158","Utah Valley University","Utah Valley"
"159","Utah State University","Utah State"
"165","Knights Field","Bridgeport"
"166","Mylan Park","West Virginia"
"167","University of Pittsburgh","Pittsburgh"
"170","College Creek Soccer Field","Humboldt State"
"171","SLU Medical Center Stadium","Saint Louis"
"176","University of Kansas Shenk Complex","Kansas"
"177","Washington University - St. Louis","Washington (Mo.)"
"178","Georgia Tech Roe Stamps Field","Georgia Tech"
"181","Colorado State University-Pueblo","CSU-Pueblo"
"184","TCU Intramural Field","Texas Christian"
"186","Regis University","Regis"
"188","Western Washington","Western Washington"
"189","St. Edwards","St. Edward's"
"194","Woodrow Wilson High School","George Washington"
"195","Claremont","Claremont"
"201","Sonoma State University","Sonoma State"
"204","Tarleton State University","Tarleton State"
"208","Creighton University","Creighton"
"209","Southeastern Soccer Complex (SELU)","Southeastern Louisiana"
"212","University of Miami","Miami"
"216","Dacotah Field","North Dakota State"
"219","NC State - Method Road Soccer Field","NC State"
"221","University of Texas - San Antonio","UT-San Antonio"
"234","University of Missouri","Missouri"
"237","University of Puget Sound","Puget Sound"
"238","Clark Field","Louisiana"
"240","Elon Fields","Elon"
"243","UC-Irvine","UC Irvine"
"250","Washington University - South Campus","Washington (Mo.)"
"252","SIU Carbondale","Southern Illinois"
"253","Texas Christian University","Texas Christian"
"254","Keiser University","Keiser University"
"257","Montana State","Montana State"
"259","East Carolina North Rec Fields","East Carolina"
"263","Oregon - Nex-Turf Field","Oregon"
"264","Lafayette High School","Ole Miss"
"266","Heritage Park","UNLV"
"269","Gagliardi Dome (SJU)","St. John's"
"274","Redding Soccer Park","Humboldt State"
"278","Texas A&M Galveston","TAMU-Galveston"
"279","NAU South Field Recreation Complex","Northern Arizona"
"283","Stonehill College - WB Mason Stadium","Stonehill"
"286","University of Northern Colorado","Northern Colorado"
"291","University Stadium - Chico","Chico State"
"292","University of Missouri S&T","Missouri S&T"
"294","Stephen F. Austin State University","Stephen F. Austin"
"295","Washington Grizzly Stadium","Montana"
"298","Terry Fox Field","Simon Fraser"
"299","Notre Dame de Namur","Notre Dame de Namur University"
"301","University of California - Santa Cruz","UC Santa Cruz"
"310","Intramural Club Sports Field (Monmouth, OR)","Western Oregon"
"313","Colorado School of Mines","Colorado Mines"
"319","Wade King Athletic Center","Western Washington"
"321","Cajun Field","Louisiana"
"326","University of Louisville","University of Louisville"
"333","Emory - Candler Park","Emory"
"338","Oregon State University","Oregon State"
"354","Kayo Field","New Haven"
"355","Central Connecticut","Central Conn. State"
"356","University of Colorado (Colorado Springs)","UC Colorado Springs"
"359","Swensen Field","Bridgewater State"
"362","Strawberry Stadium","Southeastern Louisiana"
"365","Chapman Stadium","Chapman"
"367","Grand Canyon University","Grand Canyon"
"368","University of Illinois","Illinois"
"372","Arizona State University - West Campus","Arizona State"
"373","Putnam City North Football Stadium","Oklahoma"
"390","UC Davis","UC Davis"
"398","Columbus State University","Columbus State"
"405","Idaho","Idaho"
"408","Liberty Men's Lacrosse Field","Liberty"
"411","Alumni Field","Westfield State"
"413","UIW Grass Fields","Incarnate Word"
"423","Johnson Hagood Stadium","Citadel"
"425","David Sitton Field","Arizona"
"429","University of Oklahoma","Oklahoma"
"444","University of Colorado-Denver","Colorado Denver"
"446","Santa Cruz High School","UC Santa Cruz"
"464","Cromwell Field","USC"
"467","Spence Eccles Ogden Community Sports Complex","Weber State"
"473","Virginia Tech Lacrosse Field","Virginia Tech"
"480","Central Florida - RWC Park","Central Florida"
"484","Fort Missoula Regional Park","Montana"
"495","Alabama Intramural Fields FIeld #1","Alabama"
"502","Judge Memorial High School","Utah"
"511","Golden High School","MSU Denver"
"515","UC-San Diego","UC San Diego"
"529","Tulane University","Tulane"
"554","USU Legacy Fields","Utah State"
"556","University of Utah","Utah"
"558","UCSD","UC San Diego"
"562","Kittredge Field","Colorado"
"563","Vicksburg High School","Western Michigan"
"566","Michigan State","Michigan State"
"570","Pope High School","Georgia Tech"
"584","Appalachian Farm Fields","Appalachian State"
"592","Brigham Young University - North Field","Brigham Young"
"597","Colorado State University-Ft. Collins","Colorado State"
"598","LSU Urec Fields","LSU"
"600","University of Nevada - Reno","Nevada"
"602","College of Idaho","College of Idaho"
"607","Durango High School","Fort Lewis"
"614","WPI","WPI"
"620","University of Mississippi","Ole Miss"
"621","University of New Hampshire","New Hampshire"
"625","Palisades Charter High School","USC"
"627","Boise State","Boise State"
"636","Davenport University","Davenport"
"639","DE Turf Complex","Pittsburgh"
"640","Indiana University - Evan Williams (Grass)","Indiana"
"654","Husky Dome","St. Cloud State"
"669","Wyoming Club Sports Fields","Wyoming"
"712","University of Dallas","University of Dallas"
"713","Indiana University - Rec Sports Complex (Turf)","Indiana"
"714","Palos Verde High School","Marymount"
"722","John Coughlin Memorial Field","Worcester State"
"725","Maple Street Field","Framingham State"
"736","Jess Dow Field","Southern Conn. State"
"740","University of Colorado","Colorado"
"744","Davidson","Davidson"
"745","South Florida Intramural Fields","South Florida"
"766","Eastern Florida State College","Eastern Florida State College"
"784","University of Buffalo","Buffalo"
"786","Tolland High School","Connecticut"
"787","Sierra Nevada College","Sierra Nevada"
"817","Metropolitan State College","MSU Denver"
"827","Georgia Club Sports Complex","Georgia"
"828","South Eugene High School","Oregon"
"833","WVU Rec Center","West Virginia"
"877","Alumni Stadium at BC","Boston College"
"880","Cedar Fields","Fort Lewis"
"881","Occidental College","Occidental"
"890","Clemens Stadium","St. John's"
"900","O'Shaughnessy Stadium","St. Thomas"
"911","Duck Samford (Auburn)","Auburn"
"942","University of Rhode Island","Rhode Island"
"946","West Virginia - University HS","West Virginia"
"949","Parsons Field","Northeastern"
"952","Depot Field","Connecticut"
"955","Western Michigan","Western Michigan"
"956","Pruitt Field","Ohio University"
"960","Purdue University","Purdue"
"992","Argo Field","Providence"
"993","Illinois State University","Illinois State"
"1004","Hoover High School","Alabama"
"1008","TCF Bank Stadium","Minnesota"
"1016","Fleming Fields","Nebraska"
"1030","Central Washington","Central Washington"
"1054","Ames - Field 1","Iowa State"
